t,hour,lambda_ship_per_hour,expected_ship_count_per_period,previous_day_arrival_count,current_day_arrival_count,next_day_arrival_count
55,13.75,0.59325629186423268,0.14831407296605817,1,1,0
56,14,0.60149977996785942,0.15037494499196485,0,0,0
57,14.25,0.60891560000976419,0.15222890000244105,0,0,0
58,14.5,0.6150434596775598,0.15376086491938995,0,1,0
59,14.75,0.61950816351115667,0.15487704087778917,0,0,0
60,15,0.62203359048743778,0.15550839762185945,0,0,0
61,15.25,0.62245177019646714,0.15561294254911678,0,0,0
62,15.5,0.62070681718797382,0.15517670429699346,1,1,0
63,15.75,0.61685353832494583,0.15421338458123646,0,0,0
64,16,0.61105060663629296,0.15276265165907324,0,0,0
65,16.25,0.60354832589467666,0.15088708147366917,0,0,0
66,16.5,0.59467121619467822,0.14866780404866956,0,0,1
67,16.75,0.58479594425020343,0.14619898606255086,0,0,0
68,17,0.57432549803670729,0.14358137450917682,0,1,0
69,17.25,0.56366093709608911,0.14091523427402228,0,0,0
70,17.5,0.55317248698956534,0.13829312174739133,0,0,0
71,17.75,0.54317211779740282,0.13579302944935071,1,1,3
72,18,0.53388996856012427,0.13347249214003107,0,0,0
73,18.25,0.52545697022009707,0.13136424255502427,0,0,0
74,18.5,0.51789571693414715,0.12947392923353679,1,0,0
75,18.75,0.51112101611389271,0.12778025402847318,0,0,0
76,19,0.50495064085430896,0.12623766021357724,1,0,0
77,19.25,0.49912570307966836,0.12478142576991709,0,0,0
78,19.5,0.49333890280887477,0.12333472570221869,0,0,0
79,19.75,0.48726786247983217,0.12181696561995804,1,0,0
80,20,0.48061000228026168,0.12015250057006542,0,0,0
81,20.25,0.47311509783100492,0.11827877445775123,0,0,0
82,20.5,0.46461186596281873,0.11615296649070468,2,0,0
83,20.75,0.45502564254965339,0.11375641063741335,0,0,0
84,21,0.44438535280090652,0.11109633820022663,0,0,0
85,21.25,0.43281935741025457,0.10820483935256364,0,0,0
86,21.5,0.42054117085869103,0.10513529271467276,0,0,0
87,21.75,0.40782727046308298,0.10195681761577075,0,0,0
88,22,0.39499006404108561,0.098747516010271402,0,0,0
89,22.25,0.38234944936581028,0.09558736234145257,1,0,1
90,22.5,0.37020625787879113,0.092551564469697783,0,2,0
91,22.75,0.35882029375764268,0.089705073439410671,0,0,0
92,23,0.34839479098322335,0.087098697745805836,0,0,0
93,23.25,0.3390680861931456,0.0847670215482864,0,0,0
94,23.5,0.33091231626461781,0.082728079066154453,1,0,0
95,23.75,0.32393813943299965,0.080984534858249912,0,0,0
